,FIPS,state,county,tract,pop_90,hh_90,white_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,hinc_90,ohu_90,rhu_90,mrent_90,mhval_90
56250,49057201300,49,057,201300,5102,2082,5102,2803,314,642,712,613,202,214,2082,139,331,143,124,156,153,166,119,88,53,128,107,68,68,46,39,51,20,42,17,24,0,0,0,19918,2069,929,284,41600
56251,49057201400,49,057,201400,3405,1300,3405,2160,50,121,410,578,209,568,1300,26,82,50,29,55,68,44,62,56,65,74,47,55,55,51,51,17,35,89,92,101,78,11,0,34574,1315,1058,414,69700
56252,49057201500,49,057,201500,3206,1145,3206,1952,55,119,373,536,164,435,1145,92,146,77,30,35,35,31,42,5,42,49,55,27,13,53,17,40,10,58,42,137,35,42,15,31913,1125,849,164,83200
56253,49057201600,49,057,201600,3528,1511,3528,2283,148,236,588,536,173,408,1511,86,128,60,126,101,73,67,123,140,9,101,54,40,51,61,30,29,43,52,49,57,4,6,15,24827,1500,854,376,59900
56254,49057201700,49,057,201700,2559,976,2559,1492,98,181,516,444,125,101,976,30,106,72,83,68,78,88,37,66,64,22,33,20,54,21,40,37,30,0,8,14,5,0,0,21449,984,569,323,45000
56255,49057201800,49,057,201800,1784,702,1784,1091,209,292,283,199,47,42,702,74,150,75,27,44,19,28,43,49,22,71,3,20,30,6,0,8,0,9,13,11,0,0,0,16420,695,406,319,36100
56256,49057201900,49,057,201900,1152,365,1152,559,119,197,130,75,10,13,365,49,62,38,18,48,28,21,19,0,16,12,4,5,0,3,18,8,0,3,7,0,6,0,0,15807,384,204,277,31500
56257,49057202000,49,057,202000,3346,1178,3346,2032,32,122,252,559,247,536,1178,39,57,40,21,32,59,20,32,33,44,52,35,36,35,19,39,16,35,59,120,96,130,43,51,44744,1185,767,441,130500
56258,49057210100,49,057,210100,3954,1106,3954,2179,51,166,582,742,171,314,1106,25,50,18,54,46,30,40,10,42,51,72,58,41,67,40,67,65,13,64,44,122,47,12,0,38097,1149,966,463,88900
56259,49057210201,49,057,210201,3562,938,3562,1819,25,84,435,525,144,414,938,33,12,16,0,4,17,38,23,30,46,49,38,57,18,48,49,57,37,71,73,102,100,7,6,44541,940,876,632,84300
56260,49057210202,49,057,210202,5654,1436,5654,2677,29,147,690,831,205,541,1436,37,40,29,17,76,41,60,48,81,53,75,61,53,73,97,118,45,31,118,96,118,46,12,0,39110,1483,1258,400,74900
56261,49057210301,49,057,210301,5634,1660,5634,3083,37,195,544,1003,294,729,1660,31,53,16,6,42,57,50,53,85,27,91,73,86,79,142,45,65,49,104,92,191,168,35,17,41426,1640,1536,392,90300
56262,49057210302,49,057,210302,3368,971,3368,1696,15,280,507,579,120,146,971,13,47,27,28,30,32,79,57,37,69,63,57,100,29,57,26,37,18,47,44,74,0,0,0,32654,998,824,369,68700
56263,49057210400,49,057,210400,8315,2315,8315,4231,112,556,1438,1249,334,441,2315,22,87,39,76,93,70,92,97,169,97,179,67,144,110,97,133,143,93,182,93,152,62,9,7,36207,2332,2079,371,70300
56264,49057210501,49,057,210501,6369,2291,6369,3484,90,307,1175,1180,244,387,2291,83,79,99,123,97,111,165,113,100,102,171,158,65,54,140,53,85,39,109,136,107,57,20,0,31075,2299,1499,383,74700
